ID in GmHapMap dataset	PI_# & Name	Origin	Depth of Coverage (x)
Gm_H294	BRS_313 	Brazil	19
Gm_H295	BRS_317 	Brazil	16
Gm_H296	BRS_388_RR 	Brazil	12
Gm_H297	BRS_7380_RR 	Brazil	14
Gm_H298	BRS_7980 	Brazil	18
Gm_H299	BRS_8160_RR 	Brazil	16
Gm_H300	BRS_Invernada 	Brazil	11
Gm_H301	BRS_Juliana_RR 	Brazil	21
Gm_H302	BRS_Macota 	Brazil	14
Gm_H303	BRS_Tracaja 	Brazil	11
Gm_H304	BR_23 	Brazil	24
Gm_H305	Bainong_10 	China	13
Gm_H306	Bossier 	Brazil	16
Gm_H307	CD_202 	Brazil	20
Gm_H308	CD_206 	Brazil	17
Gm_H309	CD_215 	Brazil	18
Gm_H310	CD_219_RR 	Brazil	21
Gm_H311	Changnong_18 	China	14
Gm_H312	Coker 	U.S.A.	20
Gm_H313	Dawling 	U.S.A.	20
Gm_H314	Dongnong_No46 	China	23
Gm_H315	Embrapa_4 	Brazil	19
Gm_H316	Embrapa_48 	Brazil	20
Gm_H317	Emgopa_313 	Brazil	18
Gm_H318	FT_Cometa 	Brazil	21
Gm_H319	GJ_0323-4 	ND	20
Gm_H320	Hefeng_43 	China	19
Gm_H321	Heihe_43 	China	20
Gm_H322	Heinong_38 	China	21
Gm_H323	Heinong_54 	China	21
Gm_H324	Heinong_No50 	China	20
Gm_H325	Heinong_No51 	China	22
Gm_H326	IAC_100 	Brazil	22
Gm_H327	Ivai 	Brazil	18
Gm_H328	Jihei_6 	China	23
Gm_H329	Jilidou_3 	China	23
Gm_H330	Jilinxiaoli_7 	China	20
Gm_H331	Jinong_22 	China	21
Gm_H332	Jinong_27 	China	23
Gm_H333	Jiunong_22 	China	31
Gm_H334	Jiunong_35 	China	21
Gm_H335	Jiyu_100 	China	24
Gm_H336	Jiyu_108 	China	18
Gm_H337	Jiyu_109 	China	35
Gm_H338	Jiyu_204 	China	14
Gm_H339	Jiyu_205 	China	21
Gm_H340	Jiyu_301 	China	21
Gm_H341	Jiyu_40 	China	21
Gm_H342	Jiyu_406 	China	20
Gm_H343	Jiyu_48 	China	25
Gm_H344	Jiyu_50 	China	16
Gm_H345	Jiyu_63 	China	23
Gm_H346	Jiyu_68 	China	21
Gm_H347	Jiyu_80 	China	24
Gm_H348	Jiyu_86 	China	22
Gm_H349	Jiyu_90 	China	27
Gm_H350	Jiyu_94 	China	21
Gm_H351	Jiyu_97 	China	20
Gm_H352	Jiyu_99 	China	17
Gm_H353	Kenfeng_7 	China	18
Gm_H354	Kenjianbeidou_7 	China	19
Gm_H355	Kennong_30 	China	22
Gm_H356	MSoy_5826 	Brazil	19
Gm_H357	MSoy_6101 	Brazil	18
Gm_H358	MSoy_8001 	Brazil	16
Gm_H359	MSoy_8757 	Brazil	14
Gm_H360	MSoy_8866 	Brazil	15
Gm_H361	MSoy_9144_RR 	Brazil	17
Gm_H362	NA_7337_RR 	Brazil	19
Gm_H363	NK_3363 	Brazil	16
Gm_H364	OAC_Shire 	Canada	12
Gm_H365	Ocepar_9 	Brazil	14
Gm_H366	P98Y30 	ND	18
Gm_H367	PI_522192A 	ND	16
Gm_H368	PI_153293 	Belgium	11
Gm_H369	PI_180521 	Germany	21
Gm_H370	PI_189868 	France	14
Gm_H371	PI_189950 	France	11
Gm_H372	PI_194641 	Sweden	24
Gm_H373	PI_194648 	Sweden	13
Gm_H374	PI_196529 	Sweden	16
Gm_H375	PI_257429 	Germany	20
Gm_H376	PI_317333 	Japan	17
Gm_H377	PI_360955A 	Sweden	18
Gm_H378	PI_360962 	Russia	21
Gm_H379	PI_360963_A 	Japan	14
Gm_H380	PI_360964 	Russia	20
Gm_H381	PI_372403B 	Austria	20
Gm_H382	PI_384467 	Russia	23
Gm_H383	PI_391589B 	China	19
Gm_H384	PI_398295 	South Korea 	20
Gm_H385	PI_398841 	South Korea	18
Gm_H386	PI_416757 	Japan	21
Gm_H387	PI_416762 	Japan	20
Gm_H388	PI_416930 	Japan	19
Gm_H389	PI_417095 	Japan	20
