glyma.Wm82.gnm4.scaff_209	scaffold_209
glyma.Wm82.gnm4.scaff_210	scaffold_210
glyma.Wm82.gnm4.scaff_211	scaffold_211
glyma.Wm82.gnm4.scaff_214	Gm06_scaffold_214
glyma.Wm82.gnm4.scaff_216	scaffold_216
glyma.Wm82.gnm4.scaff_217	scaffold_217
glyma.Wm82.gnm4.scaff_223	scaffold_223
glyma.Wm82.gnm4.scaff_224	scaffold_224
glyma.Wm82.gnm4.scaff_226	scaffold_226
glyma.Wm82.gnm4.scaff_229	scaffold_229
glyma.Wm82.gnm4.scaff_232	Gm11_scaffold_232
glyma.Wm82.gnm4.scaff_233	scaffold_233
glyma.Wm82.gnm4.scaff_234	scaffold_234
glyma.Wm82.gnm4.scaff_238	Gm03_scaffold_238
glyma.Wm82.gnm4.scaff_239	scaffold_239
glyma.Wm82.gnm4.scaff_240	scaffold_240
glyma.Wm82.gnm4.scaff_241	scaffold_241
glyma.Wm82.gnm4.scaff_245	Gm03_scaffold_245
glyma.Wm82.gnm4.scaff_246	scaffold_246
glyma.Wm82.gnm4.scaff_249	Gm19_scaffold_249
glyma.Wm82.gnm4.scaff_250	scaffold_250
glyma.Wm82.gnm4.scaff_252	scaffold_252
glyma.Wm82.gnm4.scaff_253	scaffold_253
glyma.Wm82.gnm4.scaff_260	Gm16_scaffold_260
glyma.Wm82.gnm4.scaff_261	scaffold_261
glyma.Wm82.gnm4.scaff_264	scaffold_264
glyma.Wm82.gnm4.scaff_269	scaffold_269
glyma.Wm82.gnm4.scaff_270	scaffold_270
glyma.Wm82.gnm4.scaff_271	scaffold_271
glyma.Wm82.gnm4.scaff_273	scaffold_273
glyma.Wm82.gnm4.scaff_277	scaffold_277
glyma.Wm82.gnm4.scaff_282	scaffold_282
glyma.Wm82.gnm4.scaff_288	scaffold_288
glyma.Wm82.gnm4.scaff_294	scaffold_294
glyma.Wm82.gnm4.scaff_298	scaffold_298
glyma.Wm82.gnm4.scaff_301	Gm06_scaffold_301
glyma.Wm82.gnm4.scaff_303	scaffold_303
glyma.Wm82.gnm4.scaff_307	scaffold_307
glyma.Wm82.gnm4.scaff_313	scaffold_313
glyma.Wm82.gnm4.scaff_314	Gm12_scaffold_314
glyma.Wm82.gnm4.scaff_315	scaffold_315
glyma.Wm82.gnm4.scaff_319	scaffold_319
glyma.Wm82.gnm4.scaff_324	scaffold_324
glyma.Wm82.gnm4.scaff_327	scaffold_327
glyma.Wm82.gnm4.scaff_328	scaffold_328
glyma.Wm82.gnm4.scaff_330	scaffold_330
glyma.Wm82.gnm4.scaff_331	scaffold_331
glyma.Wm82.gnm4.scaff_332	scaffold_332
glyma.Wm82.gnm4.scaff_336	scaffold_336
glyma.Wm82.gnm4.scaff_337	scaffold_337
glyma.Wm82.gnm4.scaff_339	Gm15_scaffold_339
glyma.Wm82.gnm4.scaff_340	scaffold_340
glyma.Wm82.gnm4.scaff_344	scaffold_344
glyma.Wm82.gnm4.scaff_352	scaffold_352
glyma.Wm82.gnm4.scaff_354	Gm14_scaffold_354
glyma.Wm82.gnm4.scaff_355	scaffold_355
glyma.Wm82.gnm4.scaff_367	scaffold_367
glyma.Wm82.gnm4.scaff_368	scaffold_368
glyma.Wm82.gnm4.scaff_371	scaffold_371
glyma.Wm82.gnm4.scaff_375	scaffold_375
glyma.Wm82.gnm4.scaff_377	scaffold_377
glyma.Wm82.gnm4.scaff_383	scaffold_383
glyma.Wm82.gnm4.scaff_387	scaffold_387
glyma.Wm82.gnm4.scaff_393	scaffold_393
glyma.Wm82.gnm4.scaff_398	scaffold_398
glyma.Wm82.gnm4.scaff_401	scaffold_401
glyma.Wm82.gnm4.scaff_405	scaffold_405
glyma.Wm82.gnm4.scaff_408	scaffold_408
glyma.Wm82.gnm4.scaff_411	scaffold_411
glyma.Wm82.gnm4.scaff_415	scaffold_415
glyma.Wm82.gnm4.scaff_422	scaffold_422
glyma.Wm82.gnm4.scaff_423	scaffold_423
glyma.Wm82.gnm4.scaff_426	scaffold_426
glyma.Wm82.gnm4.scaff_431	scaffold_431
glyma.Wm82.gnm4.scaff_436	scaffold_436
glyma.Wm82.gnm4.scaff_438	scaffold_438
glyma.Wm82.gnm4.scaff_439	scaffold_439
glyma.Wm82.gnm4.scaff_442	scaffold_442
glyma.Wm82.gnm4.scaff_449	scaffold_449
glyma.Wm82.gnm4.scaff_452	scaffold_452
glyma.Wm82.gnm4.scaff_456	scaffold_456
glyma.Wm82.gnm4.scaff_459	scaffold_459
glyma.Wm82.gnm4.scaff_461	scaffold_461
glyma.Wm82.gnm4.scaff_467	scaffold_467
glyma.Wm82.gnm4.scaff_475	scaffold_475
glyma.Wm82.gnm4.scaff_478	scaffold_478
glyma.Wm82.gnm4.scaff_483	scaffold_483
glyma.Wm82.gnm4.scaff_484	scaffold_484
glyma.Wm82.gnm4.scaff_486	scaffold_486
glyma.Wm82.gnm4.scaff_489	scaffold_489
glyma.Wm82.gnm4.scaff_492	scaffold_492
glyma.Wm82.gnm4.scaff_496	scaffold_496
glyma.Wm82.gnm4.scaff_498	scaffold_498
glyma.Wm82.gnm4.scaff_499	scaffold_499
glyma.Wm82.gnm4.scaff_501	scaffold_501
glyma.Wm82.gnm4.scaff_502	scaffold_502
glyma.Wm82.gnm4.scaff_506	scaffold_506
glyma.Wm82.gnm4.scaff_508	scaffold_508
glyma.Wm82.gnm4.scaff_511	scaffold_511
glyma.Wm82.gnm4.scaff_518	scaffold_518
glyma.Wm82.gnm4.scaff_519	scaffold_519
glyma.Wm82.gnm4.scaff_521	Gm03_scaffold_521
glyma.Wm82.gnm4.scaff_522	scaffold_522
glyma.Wm82.gnm4.scaff_524	scaffold_524
glyma.Wm82.gnm4.scaff_529	scaffold_529
glyma.Wm82.gnm4.scaff_535	scaffold_535
glyma.Wm82.gnm4.scaff_540	scaffold_540
glyma.Wm82.gnm4.scaff_542	scaffold_542
glyma.Wm82.gnm4.scaff_544	scaffold_544
glyma.Wm82.gnm4.scaff_551	scaffold_551
glyma.Wm82.gnm4.scaff_556	scaffold_556
glyma.Wm82.gnm4.scaff_560	scaffold_560
glyma.Wm82.gnm4.scaff_561	Gm18_scaffold_561
